Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.24091E-3,69.584699556,0.934419268,0.003588159,0.515151515,0.4
5.35211E-3,70.119910458,0.938102853,0.003488488,0.515151515,0.4
5.41995E-3,70.661905746,0.940247823,0.003388817,0.515151515,0.4
5.48211E-3,71.210116339,0.942147567,0.003289146,0.515151515,0.4
5.51384E-3,71.761500466,0.94309416,0.003189475,0.515151515,0.4
5.78698E-3,72.340198344,0.950626784,0.003089804,0.515151515,0.4
6.05508E-3,72.945705993,0.957049937,0.002990133,0.515151515,0.4
6.60162E-3,73.605867656,0.967672427,0.002890461,0.515151515,0.4
6.65714E-3,74.271581515,0.968592159,0.00279079,0.515151515,0.4
6.72836E-3,74.944417532,0.969733751,0.002691119,0.545454545,0.4
6.81413E-3,75.62583081,0.971053639,0.002591448,0.545454545,0.4
6.93475E-3,77.000719302,0.972812948,0.002392106,0.606060606,0.5
7.03708E-3,77.704427594,0.974221407,0.002292435,0.606060606,0.5
7.23113E-3,78.427540448,0.976694946,0.002192764,0.606060606,0.5
7.31702E-3,79.159242076,0.977712595,0.002093093,0.606060606,0.5
7.56412E-3,79.915653915,0.980399281,0.001993422,0.636363636,0.6
7.61564E-3,80.67721799,0.980917294,0.001893751,0.636363636,0.6
7.8664E-3,81.463857971,0.983249536,0.00179408,0.636363636,0.6
7.8664E-3,82.250497952,0.983249536,0.001594737,0.636363636,0.6
7.9452E-3,83.045017637,0.983921813,0.001594737,0.696969697,0.7
8.06431E-3,83.851448433,0.984887172,0.001495066,0.696969697,0.7
8.44799E-3,84.696247932,0.987619965,0.001395395,0.696969697,0.7
8.75823E-3,86.41687075,0.989463889,0.001196053,0.757575758,0.8
8.97739E-3,87.314609471,0.990598382,0.001096382,0.757575758,0.8
9.97924E-3,88.312533341,0.994415071,0.000996711,0.757575758,0.8
1.00732E-2,89.319850309,0.994681231,0.00089704,0.757575758,0.8
1.11647E-2,90.436321876,0.996984383,0.000797369,0.787878788,0.8
1.11791E-2,91.554230437,0.997006827,0.000697698,0.787878788,0.8
1.11791E-2,93.790047559,0.997006827,0.000398684,0.787878788,0.8
1.3904E-2,95.180446128,0.999273995,0.000398684,0.878787879,0.9
1.3904E-2,96.570844697,0.999273995,0.000199342,0.878787879,0.9
1.71458E-2,98.285422348,0.999865398,0.000199342,0.939393939,0.9
1.71458E-2,100,0.999865398,0,0.939393939,0.9
